thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,4016,1364,689,97117,1172,0.3396414342629482,0.1715637450199203,82.86433447098976
0.02,4016,1364,689,95082,1172,0.3396414342629482,0.1715637450199203,81.12798634812286
0.03,4016,1364,689,92251,1172,0.3396414342629482,0.1715637450199203,78.71245733788396
0.04,4016,1363,689,81413,1172,0.33939243027888444,0.1715637450199203,69.46501706484642
0.05,4016,1349,683,61614,1172,0.335906374501992,0.17006972111553784,52.5716723549488
0.06,4016,1324,670,44346,1172,0.3296812749003984,0.16683266932270915,37.83788395904437
0.07,4016,1297,652,33902,1172,0.3229581673306773,0.16235059760956175,28.926621160409557
0.08,4016,1257,628,27358,1172,0.3129980079681275,0.15637450199203187,23.343003412969285
0.09,4016,1198,585,22713,1172,0.29830677290836655,0.14566733067729085,19.379692832764505
0.1,4016,1135,556,18803,1172,0.2826195219123506,0.13844621513944222,16.043515358361773
0.11,4016,1066,520,15143,1172,0.2654382470119522,0.1294820717131474,12.920648464163822
0.12,4016,996,476,11847,1172,0.24800796812749004,0.11852589641434264,10.108361774744028
0.13,4016,928,444,9129,1172,0.23107569721115537,0.11055776892430279,7.789249146757679
0.14,4016,874,418,6932,1172,0.21762948207171315,0.10408366533864542,5.914675767918089
0.15,4016,787,388,5254,1172,0.19596613545816732,0.09661354581673307,4.482935153583618
0.16,4016,729,364,4075,1172,0.18152390438247012,0.09063745019920319,3.476962457337884
0.17,4016,652,342,3098,1172,0.16235059760956175,0.08515936254980079,2.643344709897611
0.18,4016,591,327,2294,1172,0.14716135458167331,0.08142430278884462,1.9573378839590443
0.19,4016,524,299,1659,1172,0.13047808764940239,0.07445219123505976,1.4155290102389078
0.2,4016,440,269,1171,1172,0.10956175298804781,0.0669820717131474,0.9991467576791809
0.21,4016,372,223,813,1172,0.09262948207171315,0.05552788844621514,0.6936860068259386
0.22,4016,317,192,563,1172,0.07893426294820717,0.04780876494023904,0.4803754266211604
0.23,4016,266,162,381,1172,0.06623505976095617,0.04033864541832669,0.3250853242320819
0.24,4016,222,146,259,1172,0.055278884462151394,0.036354581673306775,0.22098976109215018
0.25,4016,187,126,174,1172,0.04656374501992032,0.03137450199203187,0.14846416382252559
0.26,4016,157,109,114,1172,0.03909362549800797,0.027141434262948207,0.09726962457337884
0.27,4016,114,77,82,1172,0.02838645418326693,0.019173306772908367,0.06996587030716724
0.28,4016,87,61,55,1172,0.02166334661354582,0.015189243027888447,0.04692832764505119
0.29,4016,76,53,40,1172,0.018924302788844622,0.013197211155378486,0.034129692832764506
0.3,4016,55,37,32,1172,0.013695219123505976,0.009213147410358566,0.027303754266211604
0.31,4016,41,28,24,1172,0.010209163346613545,0.0069721115537848604,0.020477815699658702
