thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.01,4016,1357,781,96130,1172,0.33789840637450197,0.19447211155378485,82.0221843003413
0.02,4016,1357,781,95015,1172,0.33789840637450197,0.19447211155378485,81.07081911262799
0.03,4016,1357,781,92318,1172,0.33789840637450197,0.19447211155378485,78.76962457337883
0.04,4016,1356,781,81801,1172,0.3376494023904382,0.19447211155378485,69.79607508532423
0.05,4016,1342,771,58602,1172,0.3341633466135458,0.1919820717131474,50.00170648464164
0.06,4016,1320,757,40020,1172,0.3286852589641434,0.18849601593625498,34.14675767918089
0.07,4016,1292,741,29250,1172,0.32171314741035856,0.18451195219123506,24.957337883959045
0.08,4016,1246,715,22841,1172,0.3102589641434263,0.1780378486055777,19.488907849829353
0.09,4016,1208,691,18367,1172,0.300796812749004,0.17206175298804782,15.671501706484642
0.1,4016,1148,650,14613,1172,0.2858565737051793,0.16185258964143426,12.468430034129693
0.11,4016,1062,598,11286,1172,0.2644422310756972,0.14890438247011953,9.629692832764505
0.12,4016,993,558,8572,1172,0.2472609561752988,0.1389442231075697,7.313993174061434
0.13,4016,911,516,6537,1172,0.2268426294820717,0.12848605577689243,5.57764505119454
0.14,4016,837,474,5013,1172,0.2084163346613546,0.11802788844621515,4.277303754266212
0.15,4016,757,440,3883,1172,0.18849601593625498,0.10956175298804781,3.3131399317406145
0.16,4016,688,402,3023,1172,0.17131474103585656,0.10009960159362549,2.5793515358361776
0.17,4016,604,361,2345,1172,0.150398406374502,0.08989043824701196,2.000853242320819
0.18,4016,540,331,1769,1172,0.1344621513944223,0.0824203187250996,1.5093856655290103
0.19,4016,469,297,1275,1172,0.11678286852589641,0.07395418326693227,1.0878839590443685
0.2,4016,411,263,921,1172,0.10234063745019921,0.06548804780876494,0.7858361774744027
0.21,4016,353,233,660,1172,0.087898406374502,0.05801792828685259,0.5631399317406144
0.22,4016,299,203,459,1172,0.07445219123505976,0.050547808764940236,0.3916382252559727
0.23,4016,237,161,302,1172,0.05901394422310757,0.04008964143426295,0.257679180887372
0.24,4016,193,130,197,1172,0.04805776892430279,0.03237051792828685,0.1680887372013652
0.25,4016,162,108,138,1172,0.04033864541832669,0.026892430278884463,0.11774744027303755
0.26,4016,140,94,97,1172,0.0348605577689243,0.023406374501992032,0.08276450511945392
0.27,4016,119,83,61,1172,0.02963147410358566,0.020667330677290836,0.05204778156996587
0.28,4016,86,61,42,1172,0.02141434262948207,0.015189243027888447,0.03583617747440273
0.29,4016,69,50,35,1172,0.017181274900398405,0.01245019920318725,0.029863481228668942
