thr,n_gt,n_hit,n_hit_family,n_fp,n_scans,sensitivity,sensitivity_family,fp_per_scan
0.89,3401,0,0,0,1172,0.0,0.0,0.0
0.9,3401,0,0,0,1172,0.0,0.0,0.0
0.91,3401,0,0,0,1172,0.0,0.0,0.0
0.92,3401,0,0,0,1172,0.0,0.0,0.0
0.93,3401,0,0,0,1172,0.0,0.0,0.0
0.94,3401,0,0,0,1172,0.0,0.0,0.0
0.95,3401,0,0,0,1172,0.0,0.0,0.0
0.96,3401,0,0,0,1172,0.0,0.0,0.0
0.97,3401,0,0,0,1172,0.0,0.0,0.0
0.98,3401,0,0,0,1172,0.0,0.0,0.0
0.99,3401,0,0,0,1172,0.0,0.0,0.0
