scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_152,SIAPLR,512x512x160,----,4.482,2.055,4.482,0.31250;0.31250;0.80000,0.807,0.871,0.867,0.855,0.961,0.909,0.50,0.53,0.30,0.34,0.16,0.35
MTR_154,SIAPLR,512x512x160,----,4.743,3.319,4.743,0.31250;0.31250;0.80000,0.698,0.902,0.914,0.855,0.969,0.929,0.71,0.38,0.28,0.31,0.14,0.37
MTR_156,SIAPLR,512x512x160,----,4.120,2.537,4.120,0.31249;0.31252;0.80002,0.656,0.778,0.823,0.697,0.922,0.845,1.22,0.69,0.42,0.86,0.42,0.89
MTR_158,SIAPLR,512x512x160,----,4.285,2.234,4.285,0.31250;0.31250;0.80000,0.868,0.952,0.990,0.983,0.981,0.984,0.58,0.37,0.14,0.15,0.19,0.15
MTR_159,SIAPLR,512x512x160,----,4.296,2.336,4.296,0.31250;0.31250;0.80000,0.738,0.894,0.994,0.967,0.972,0.968,0.81,0.43,0.15,0.19,0.20,0.32
MTR_161,SIAPRL,512x512x160,----,3.887,1.810,3.887,0.31249;0.31255;0.80036,0.682,0.740,0.540,0.846,0.727,0.896,0.84,0.60,0.85,0.32,0.90,0.34
MTR_163,SIAPLR,512x512x160,----,4.515,2.946,4.515,0.31250;0.31250;0.80000,0.406,0.905,0.911,0.890,0.929,0.970,1.44,0.50,0.42,0.26,0.27,0.26
MTR_164,SIAPLR,512x512x160,----,3.266,1.769,3.266,0.31250;0.31250;0.80000,0.846,0.937,0.983,0.903,0.986,0.942,0.77,0.42,0.27,0.30,0.23,0.24
MTR_167,SIAPLR,512x512x160,----,4.310,2.604,4.310,0.31246;0.31249;0.79978,0.684,0.830,0.869,0.760,0.937,0.844,0.96,0.63,0.29,0.59,0.24,0.65
MTR_172,SIAPLR,512x512x160,----,3.456,2.072,3.456,0.31250;0.31252;0.80041,0.651,0.862,0.937,0.727,0.941,0.856,1.20,0.80,0.46,0.57,0.69,0.72
MTR_173,SIAPLR,512x512x160,----,2.374,1.287,2.374,0.35160;0.35162;0.80064,0.764,0.881,0.900,0.860,0.958,0.869,0.88,0.59,0.25,0.49,0.16,0.59
MTR_174,SIAPLR,512x512x160,----,3.629,2.259,3.629,0.31250;0.31252;0.80024,0.639,0.809,0.875,0.772,0.924,0.823,1.10,0.65,0.33,0.70,0.21,0.73
MTR_175,SIAPLR,512x512x160,----,4.852,3.409,4.852,0.31249;0.31252;0.79999,0.728,0.874,0.915,0.858,0.953,0.849,0.79,0.47,0.21,0.42,0.16,0.66
MTR_176,SIAPLR,512x512x160,----,2.810,2.132,2.810,0.31250;0.31250;0.80000,0.744,0.853,0.842,0.840,0.908,0.893,0.84,0.43,0.32,0.35,0.25,0.42
MTR_177,SIAPLR,512x512x160,----,3.984,2.356,3.984,0.31249;0.31249;0.80007,0.288,0.622,0.772,0.610,0.877,0.738,1.82,1.30,0.92,1.24,0.76,1.27
MTR_178,SIAPRL,512x512x156,----,3.962,2.806,3.962,0.31252;0.31251;0.80002,0.782,0.819,0.665,0.909,0.802,0.945,0.75,0.51,0.65,0.25,0.70,0.17
MTR_179,SIAPLR,512x512x160,----,4.498,2.616,4.498,0.31250;0.31248;0.80041,0.710,0.834,0.962,0.887,0.964,0.899,0.93,0.73,0.48,0.54,0.47,0.75
MTR_182,SIAPLR,512x512x160,----,4.849,3.351,4.849,0.31250;0.31250;0.80000,0.790,0.925,0.993,0.851,0.983,0.939,0.72,0.46,0.12,0.34,0.17,0.35
MTR_183,SIAPLR,512x512x160,----,5.423,2.000,5.423,0.31250;0.31250;0.80000,0.572,0.803,0.841,0.798,0.880,0.890,1.17,0.56,0.39,0.63,0.35,0.63
MTR_184,SIAPLR,512x512x160,----,3.932,2.128,3.932,0.31251;0.31252;0.80023,0.553,0.773,0.912,0.844,0.937,0.871,1.77,0.95,0.77,0.87,0.92,0.79
MTR_186,SIAPLR,512x512x160,----,4.229,2.914,4.229,0.31254;0.31245;0.80051,0.591,0.793,0.878,0.803,0.914,0.799,1.57,0.91,0.33,0.79,0.27,0.87
