scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_224,SIAPLR,512x512x160,----,5.337,2.803,5.337,0.31251;0.31248;0.79958,0.720,0.880,0.978,0.863,0.983,0.885,0.77,0.42,0.43,0.47,0.31,0.51
MTR_225,SIAPLR,512x512x160,----,4.233,2.053,4.233,0.31250;0.31247;0.79993,0.807,0.908,0.931,0.965,0.969,0.968,0.94,0.27,0.22,0.15,0.11,0.08
MTR_227,SIAPRL,512x512x160,----,3.795,1.924,3.795,0.31254;0.31248;0.80001,0.777,0.783,0.638,0.867,0.809,0.906,0.69,0.42,0.67,0.28,0.72,0.23
MTR_228,SIAPRL,512x512x152,----,4.086,2.237,4.086,0.31247;0.31252;0.79994,0.718,0.773,0.709,0.914,0.834,0.938,1.04,0.54,0.67,0.24,0.68,0.19
MTR_229,SIAPLR,512x512x160,----,2.863,1.498,2.863,0.31250;0.31250;0.80000,0.663,0.883,0.933,0.899,0.955,0.911,1.27,0.69,0.41,0.48,0.53,0.46
MTR_230,SIAPLR,512x512x160,----,3.100,1.750,3.100,0.31250;0.31250;0.80000,0.348,0.800,0.842,0.785,0.940,0.913,1.17,0.77,0.41,0.36,0.23,0.46
MTR_232,SIAPLR,512x512x160,----,5.047,2.959,5.047,0.31250;0.31250;0.80000,0.858,0.919,0.976,0.864,0.991,0.914,0.41,0.31,0.05,0.31,0.11,0.31
MTR_233,SIAPLR,512x512x160,----,4.533,2.666,4.533,0.31247;0.31253;0.80007,0.612,0.780,0.834,0.820,0.924,0.874,0.98,0.59,0.36,0.56,0.22,0.60
MTR_235,SIAPLR,512x512x160,----,3.513,1.734,3.513,0.31250;0.31250;0.80000,0.644,0.878,0.904,0.900,0.918,0.890,1.43,0.71,0.44,0.59,0.27,0.54
MTR_236,SIAPLR,512x512x160,----,3.974,2.590,3.974,0.31250;0.31248;0.79996,0.831,0.927,0.986,0.919,0.982,0.949,0.71,0.55,0.14,0.32,0.12,0.26
MTR_237,SIAPLR,512x512x160,----,4.048,2.589,4.048,0.31250;0.31250;0.80000,0.882,0.952,0.999,0.950,0.987,0.980,0.51,0.32,0.02,0.29,0.28,0.27
MTR_240,SIAPLR,512x512x160,----,4.027,1.980,4.027,0.31250;0.31250;0.80000,0.316,0.767,0.844,0.831,0.920,0.896,1.50,0.95,0.50,0.50,0.29,0.55
MTR_241,SIAPLR,512x512x160,----,2.806,2.098,2.806,0.31254;0.31247;0.80005,0.577,0.813,0.889,0.815,0.949,0.899,0.91,0.64,0.26,0.45,0.38,0.64
MTR_243,SIAPRL,512x512x160,----,4.190,2.790,4.190,0.31250;0.31256;0.79995,0.761,0.872,0.937,0.977,0.930,0.977,0.85,0.33,0.42,0.15,0.35,0.17
MTR_244,SIAPRL,512x512x160,----,3.716,2.573,3.716,0.31247;0.31253;0.80005,0.770,0.862,0.950,0.979,0.939,0.980,0.82,0.68,0.53,0.15,0.68,0.15
MTR_245,SIAPRL,512x512x160,----,2.736,1.505,2.736,0.31245;0.31246;0.79995,0.545,0.766,0.754,0.890,0.772,0.924,1.03,0.64,0.87,0.30,0.87,0.24
MTR_248,SIAPLR,512x512x160,----,3.202,2.208,3.202,0.31250;0.31249;0.79945,0.630,0.816,0.864,0.765,0.923,0.831,1.23,0.80,0.33,0.69,0.28,0.79
MTR_251,SIAPLR,512x512x160,----,5.302,2.206,5.302,0.31250;0.31250;0.80000,0.822,0.903,0.986,0.880,0.988,0.918,0.70,0.45,0.23,0.30,0.22,0.23
